"Story","Title","Result","Date","Stability","Duration (s)"
"Store Credit","Store Credit Mayor Compra usuario normal","ERROR","2018-08-14T15:55:48.305-05:00[America/Bogota]","0.0","141.61"
"Store Credit","Store Credit Mayor Compra usuario aliada","SUCCESS","2018-08-14T16:07:59.006-05:00[America/Bogota]","0.0","224.71"
"compra con credito aliad@","compra con credito aliad@ nueva con voucher","ERROR","2018-08-08T08:57:09.617-05:00[America/Bogota]","0.0","39.84"
"compra con credito aliad@","compra con credito aliad@ con sc","ERROR","2018-08-08T08:57:49.461-05:00[America/Bogota]","0.0","111.31"
"compra con credito aliad@","compra con credito aliad@ con mayor al cupo","ERROR","2018-08-08T08:59:40.774-05:00[America/Bogota]","0.0","12.75"
"compra con credito aliad@","compra con credito caso no feliz usuario normal","ERROR","2018-08-14T08:47:52.961-05:00[America/Bogota]","0.0","9.66"
"compra con credito aliad@","compra con credito aliad@ <usuario>","ERROR","2018-08-14T08:48:02.64-05:00[America/Bogota]","0.0","13.51"
"compra con credito aliad@","compra con credito aliad@ con voucher","ERROR","2018-08-14T08:48:16.151-05:00[America/Bogota]","0.0","17.26"
"Store Credit PDP","Limpia Carro cliente","SUCCESS","2018-10-09T11:58:11.327-05:00[America/Bogota]","0.0","134.01"
"Store Credit PDP","Store Credit Compra usuario normal tarjeta credito con union de carro","FAILURE","2018-10-09T12:06:25.191-05:00[America/Bogota]","0.0","108.92"
"Store Credit PDP","Limpia Carro aliada","SUCCESS","2018-10-09T12:08:14.115-05:00[America/Bogota]","0.0","88.46"
"Store Credit PDP","Store Credit Mayor Compra usuario aliada","SUCCESS","2018-10-09T12:09:42.579-05:00[America/Bogota]","0.0","205.7"
"Store Credit PDP","Store Credit Mayor Compra usuario normal","SUCCESS","2018-10-09T13:18:20.707-05:00[America/Bogota]","0.0","322.44"
"Store Credit PDP","Store Credit Mayor Compra usuario aliada verifica pasarela","SUCCESS","2018-10-09T13:32:47.823-05:00[America/Bogota]","0.0","440.64"
"Store Credit PDP","Store Credit Mayor Compra usuario normal verifica pasarela con union de carro","SUCCESS","2018-10-09T13:50:13.605-05:00[America/Bogota]","0.0","339.32"
"Store Credit PDP","Store Credit Compra aliada tarjeta debito","FAILURE","2018-10-09T14:46:24.357-05:00[America/Bogota]","0.0","251.42"
"Compra Contra Entrega PDP","Compra contra entrega usuario aliada con voucher <vocher>","SUCCESS","2018-10-08T11:02:17.032-05:00[America/Bogota]","0.0","849.04"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal caso no feliz municipio sin contra entrega con vaucher","SUCCESS","2018-10-08T14:10:45.795-05:00[America/Bogota]","0.0","273.61"
"Compra Contra Entrega PDP","Compra contra entrega usuario aliada caso no feliz municipio sin contra entrega con vaucher","SUCCESS","2018-10-08T14:20:34.727-05:00[America/Bogota]","0.0","147.45"
"Compra Contra Entrega PDP","Compra contra entrega usuario aliada caso no feliz municipio sin contra entrega","SUCCESS","2018-10-08T14:23:02.186-05:00[America/Bogota]","0.0","144.18"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal caso no feliz municipio sin contra entrega","SUCCESS","2018-10-08T15:21:15.093-05:00[America/Bogota]","0.0","277.32"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal caso no feliz","SUCCESS","2018-10-08T15:29:06.884-05:00[America/Bogota]","0.0","476.33"
"Compra Contra Entrega PDP","Compra contra entrega usuario aliada caso no feliz","SUCCESS","2018-10-08T16:01:20.926-05:00[America/Bogota]","0.0","531.54"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal con SC","SUCCESS","2018-10-09T11:08:41.745-05:00[America/Bogota]","0.0","238.29"
"Compra Contra Entrega PDP","Compra contra entrega usuario normal con SC y vaucher","FAILURE","2018-10-09T11:12:40.04-05:00[America/Bogota]","0.0","513.41"
"Compras en efectivo PDP","Compra efectivo usuario <usuario> forma <forma>","SUCCESS","2018-10-11T10:42:14.965-05:00[America/Bogota]","0.0","1120.88"
"Compras en efectivo PDP","Compra efectivo usuario normal Baloto con descuento fijo","SUCCESS","2018-10-11T11:03:29.013-05:00[America/Bogota]","0.0","300.89"
"Compras en efectivo PDP","Store Credit Mayor Compra usuario <usuario> verifica pasarela","SUCCESS","2018-10-11T11:59:32.044-05:00[America/Bogota]","0.0","588.19"
"Compra con TC PDP","Limpia Carro cliente","SUCCESS","2018-09-24T18:27:56.984-05:00[America/Bogota]","0.0","107.63"
"Compra con TC PDP","comprar con tarjeta de credito con usuario normal","ERROR","2018-10-09T10:08:54.266-05:00[America/Bogota]","0.0","324.16"
"Compra con Tarjeta debito PDP","Limpia Carro cliente","SUCCESS","2018-10-11T15:27:06.719-05:00[America/Bogota]","0.0","135.9"
"Compra con Tarjeta debito PDP","comprar con Tarjeta debito con usuario normal caso feliz solo agrego al carro","SUCCESS","2018-10-11T15:31:08.901-05:00[America/Bogota]","0.0","123.04"
"Compra con Tarjeta debito PDP","comprar con Tarjeta debito con usuario normal caso feliz con union de carro","SUCCESS","2018-10-11T15:54:05.137-05:00[America/Bogota]","0.0","303.73"
